yearID,name,R,innings,BA,OBP,SLG,ISO,TA,LinWeights
1958,Washington Senators,553,1404,0.2405,0.304810936,0.3569,0.1164,0.458428102,-79.43
1959,Baltimore Orioles,551,1395,0.2381,0.309192201,0.3447,0.1066,0.477705411,-71.1
1959,Boston Red Sox,726,1386,0.2555,0.335156384,0.3855,0.13,0.557598978,71.08
1959,Chicago White Sox,669,1404,0.2501,0.324144972,0.364,0.1138,0.541614907,1.74
1959,Chicago Cubs,673,1395,0.2494,0.313945461,0.3978,0.1484,0.492238358,25.37
1959,Cincinnati Redlegs,764,1386,0.2738,0.336443753,0.4268,0.153,0.555584281,131.55
1959,Cleveland Indians,745,1386,0.2629,0.318650586,0.4079,0.145,0.487798678,40.51
1959,Detroit Tigers,713,1386,0.2583,0.332585046,0.3995,0.1412,0.525244719,78.15
1959,Kansas City Athletics,681,1386,0.2627,0.324456049,0.3896,0.1269,0.531113956,33.06
1959,Los Angeles Dodgers,705,1404,0.2575,0.332198195,0.3961,0.1386,0.534608608,66.25
1959,Milwaukee Braves,724,1413,0.2647,0.32573179,0.4167,0.152,0.516096579,90.38
1959,New York Yankees,687,1395,0.2597,0.317683345,0.4016,0.1418,0.506493506,40.61
1959,Philadelphia Phillies,599,1395,0.2421,0.309434635,0.3617,0.1196,0.481623277,-56.4
1959,Pittsburgh Pirates,651,1395,0.2634,0.319394252,0.3844,0.1211,0.518462698,8.55
1959,San Francisco Giants,705,1386,0.2607,0.321515468,0.4141,0.1534,0.517775521,75.25
1959,St. Louis Cardinals,641,1386,0.2693,0.330403309,0.4002,0.1309,0.546724225,56.54
1959,Washington Senators,619,1386,0.2366,0.307006597,0.3792,0.1426,0.462382045,-21.98
1960,Baltimore Orioles,682,1386,0.2528,0.330038155,0.3768,0.124,0.53125804,32.99
1960,Boston Red Sox,658,1386,0.2606,0.333448574,0.3891,0.1285,0.54299691,56.68
1960,Chicago White Sox,741,1386,0.2701,0.341959014,0.3961,0.126,0.586135001,101.42
